Country,CH,US,JA,UY,IR,LY,TW,NZ,RI
Survival,2.5,2.42,2.5,4,5,3.5,2.5,2.3,2.39
0-4,0,NA,NA,NA,0,NA,0.45,0.4,NA
9-May,0,NA,NA,NA,0,NA,0.4,0.4,NA
14-Oct,0,NA,NA,NA,0,NA,0.18,0.4,NA
15-19,0,0,NA,NA,0,NA,0.35,0.4,NA
20-24,0,0,0,NA,0,0,0.21,0.4,0.28
25-29,0.14,0.08,0,0.21,0.17,0,0.17,0.4,0
30-34,0.13,0.08,0.1,0.21,0.22,0.81,0.27,0.4,0
35-39,0.22,0.36,0.1,0.71,0.25,0.81,0.73,0.4,0
40-44,0.12,0.36,0.7,0.71,0.29,2.17,1.08,0.4,0.72
45-49,0.46,2.98,0.7,1.05,0.85,2.17,1.38,0.4,0.58
50-54,0.78,2.98,1.5,1.05,1.06,3.76,1.3,3.8,0.52
55-59,1.41,6.13,1.5,2.9,0.91,3.76,1.5,3.8,0.33
60-64,1.4,6.13,3.1,2.9,1.13,2.27,2.54,5,3.02
65-69,2.35,7.41,3.1,2.55,1.48,2.27,2.03,5,2.17
70-74,1.52,7.41,5.1,2.55,2.11,2.56,3.2,12.1,1.5
75-79,1.02,5.54,5.1,1.63,0.85,2.56,1.7,12.1,NA
80-84,1.3,5.54,2.9,1.63,0,2.56,1.04,4.8,NA
85-89,1.3,5.54,2.9,1.63,0,2.56,1.04,4.8,NA
90-94,1.3,5.54,2.9,1.63,0,2.56,1.04,4.8,NA
95-99,1.3,5.54,2.9,1.63,0,2.56,1.04,4.8,NA
>100,1.3,5.54,2.9,1.63,0,2.56,1.04,4.8,NA
