Country,CH,US,UY,IR,LY,JA,TW,NZ,RI
Survival,2.25,3,4.33,3.25,3.5,2.25,2.25,2.3,2.39
0-4,0,NA,NA,0,NA,NA,0.56,0.5,NA
9-May,0,NA,NA,0,NA,NA,0.69,0.5,NA
15-Oct,0,NA,NA,0,NA,NA,0.62,0.5,NA
15-19,0,0.11,NA,0.15,NA,NA,0.8,0.5,NA
20-24,0,0.11,NA,0.07,0.11,0,0.42,0.5,0
25-29,0,0.79,0.22,0,0.11,0,0.39,0.5,0
30-34,0.16,0.79,0.22,0.21,2.32,0.1,0.52,0.5,0
35-39,0.92,1.63,1.73,0.57,2.32,0.1,0.73,0.5,0.28
40-44,0.98,1.63,1.73,0.81,2.84,0.5,1.29,0.5,0.72
45-49,0.3,2.49,2.82,0.97,2.84,0.5,1.53,0.5,0.28
50-54,0.72,2.49,2.82,1.99,8.14,2.4,2.02,3.7,1.39
55-59,1.81,6.42,6.6,2.67,8.14,2.4,2.2,3.7,2.67
60-64,3.99,6.42,6.6,3.39,8.11,5.4,4.02,10.6,4.85
65-69,1.92,10.17,7.68,2.23,8.11,5.4,4.51,10.6,2.17
70-74,3.6,10.17,7.68,2.81,0,8.3,4.14,18.2,0.89
75-79,2.58,7.18,6.48,1.64,0,8.3,2.81,18.2,NA
80-84,1.53,7.18,6.48,2.38,0,5.1,0.92,7.6,NA
85-89,1.53,7.18,6.48,2.38,0,5.1,0.92,7.6,NA
90-94,1.53,7.18,6.48,2.38,0,5.1,0.92,7.6,NA
95-99,1.53,7.18,6.48,2.38,0,5.1,0.92,7.6,NA
>100,1.53,7.18,6.48,2.38,0,5.1,0.92,7.6,NA
